"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-07","2011-10-25",1014,"BRANDSEN","Buenos Aires","Protocolo 21","2011","","CAJ.CARG.BARANDA VOLCABLE","063","IVECO","172","DAILY 55C16 PASO 3750","1","Privado","Jurídica","BRANDSEN","BUENOS AIRES","No aplica","1958","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-20","1995-05-10",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1995","","BREAK 4 PUERTAS","37","RENAULT","AK","R21 RN BREAK M2100 DIESEL/95","1","Privado","Física","LUIS GUILLÓN","BUENOS AIRES","Femenino","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-28","1995-11-24",1030,"FLORENCIO VARELA Nº 1","Buenos Aires","Importado","1995","","BERLINA 5 PTAS","","FORD","","FIESTA CL","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","No identificado","1984","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-13","1990-05-14",1042,"JUNIN Nº 1","Buenos Aires","Nacional","1990","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","JUNIN","BUENOS AIRES","No identificado","1972","ARGENTINA",100,"06","ARG"
"COMUNICACIÓN DE RECUPERO","2021-01-21","2006-03-03",1043,"LA PLATA Nº 01","Buenos Aires","Nacional","2006","","FURGON VIDRIADO C/AS","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Jurídica","LA PLATA","BUENOS AIRES","No aplica","2000","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-13","2000-11-09",1045,"LA PLATA Nº 03","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-19","2006-03-02",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","2006","","FURGON VIDRIADO CON ASIENTOS","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE/2006","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","No identificado","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-22","2005-09-28",1078,"LA MATANZA Nº 01","Buenos Aires","Protocolo 21","2005","","FURGON TERMICO","092","MERCEDES BENZ","265","L-1620","1","Privado","Jurídica","SAN JUSTO","BUENOS AIRES","No aplica","1989","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-05","2009-03-06",1118,"QUILMES Nº 2","Buenos Aires","Protocolo 21","2009","","FURGON TERMICO","092","MERCEDES BENZ","172","710","1","Privado","Física","BERNAL","BUENOS AIRES","Femenino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-01-19","2009-01-19",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2009","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","VILLA MADERO","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
