tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-01,1994-01-07,01152,LA MATANZA Nº 04,Buenos Aires,Nacional,1994,,BERLINA 5 PTAS,37,RENAULT,90,19 RN BIC.,1,Privado,Física,CIUDAD EVITA,BUENOS AIRES,Masculino,1986,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-15,1997-08-22,01152,LA MATANZA Nº 04,Buenos Aires,Nacional,1997,,COMBI 3550,29,MERCEDES BENZ,93,SPRINTER 310 D / C3550,2,Público,Física,RAMOS MEJIA,BUENOS AIRES,Femenino,1987,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-29,2002-03-25,01152,LA MATANZA Nº 04,Buenos Aires,Nacional,2002,,AMBULANCIA,29,MERCEDES BENZ,AB,SPRINTER 312D/F3000,1,Privado,Física,RAFAEL CASTILLO,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-15,2001-08-15,01153,LA MATANZA Nº 05,Buenos Aires,Nacional,2001,,SEDAN,08,CHEVROLET,57,CORSA 4PTAS. WIND 1.6 MPFI,1,Privado,Física,CIUDAD EVITA,BUENOS AIRES,No identificado,1992,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-12,2001-03-02,01158,TRES DE FEBRERO Nº 3,Buenos Aires,Nacional,2001,,ambulancia,29,MERCEDES BENZ,AC,SPRINTER 312D/F3550,1,Privado,Física,VILLA BALLESTER,BUENOS AIRES,Masculino,1960,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-15,2010-06-10,01179,SAN MARTIN Nº 5,Buenos Aires,Nacional,2010,,FURGON 800,34,PEUGEOT,KF,PARTNER PRESENCE PLC 1.6 HDI,1,Privado,Física,VILLA LYNCH,BUENOS AIRES,Masculino,1999,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-30,2011-09-30,01196,LA PLATA Nº 08,Buenos Aires,Nacional,2011,,UTILITARIO,08,CHEVROLET,CW,CLASSIC 3 PTAS CARGO + AA 1.4N,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2014,No aplica,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-31,1996-01-25,01199,LANUS Nº 6,Buenos Aires,Nacional,1996,,FURGON LARGO,37,RENAULT,86,RENAULT TRAFIC,1,Privado,Física,LANUS OESTE,BUENOS AIRES,No identificado,1992,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-22,1999-10-21,01200,SAN MARTIN Nº 6,Buenos Aires,Nacional,1999,,SEDAN,08,CHEVROLET,57,CORSA 4 PUERTAS WIND 1.6 LTS,1,Privado,Física,JOSÉ LEÓN SUÁREZ,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-30,2009-06-30,01204,MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5),Buenos Aires,Nacional,2009,,FURGON VID C/ASIENTO,37,RENAULT,UL,KANGOO CONFORT 1.6 CD SVT 1PL,1,Privado,Física,PABLO NOGUES,BUENOS AIRES,Masculino,1970,ARGENTINA,100,06,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2021-03-16,1999-05-07,01209,BERAZATEGUI Nº 3,Buenos Aires,Nacional,1999,,BERLINA 5 PTAS,37,RENAULT,DW,CLIO RN 5P DIE PACK AA DA,1,Privado,Física,BERAZATEGUI,BUENOS AIRES,Femenino,1985,ARGENTINA,100,06,ARG
